"","category","name","reviewer","reviews","veridied","date.of.review","ratings"
"31","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","parmy60","Lovely material, great colour. A little on the small side, I ordered another, one size up than normal.","Verified Purchase","Reviewed in the United Kingdom on 22 March 2023","4.3 out of 5 stars"
"32","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","A. R. Duckett","Fits well and looks good. Handy loop for sunglasses","Verified Purchase","Reviewed in the United Kingdom on 5 September 2023","4.0 out of 5 stars"
"33","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","john wood","I've bought 3 of these and will be buying more. Great range of colours and the dry fit material makes you feel comfortable and true too size.","Verified Purchase","Reviewed in the United Kingdom on 30 July 2023","5.0 out of 5 stars"
"34","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Amazon Kunde","I like dancing salsa. At one point it is getting hot and the shirt is perfect. Keeps looking good and sweat almost none. Will buy again","Verified Purchase","Reviewed in Germany on 2 September 2023","5.0 out of 5 stars"
"35","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Mr. R. A. Wilkey","I was attracted to this polo shirt as it was more attractive than most. The material is light and it is very versatile. It is a little on the expensive side. I would be inclined to order one size larger than usual.","Verified Purchase","Reviewed in the United Kingdom on 13 September 2022","5.0 out of 5 stars"
"36","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","keith holland","Very happy with this product","Verified Purchase","Reviewed in the United Kingdom on 3 September 2023","4.0 out of 5 stars"
"37","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Client d'Amazon","Polo correct mais la matière est noire brillante…Transpiration ? A voir à l’usage. J’avoue avoir un doute.","Verified Purchase","Reviewed in France on 22 February 2023","5.0 out of 5 stars"
"38","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","David cooper","Really made up will be ordering the same again.","Verified Purchase","Reviewed in the United Kingdom on 13 August 2023","3.0 out of 5 stars"
"39","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","Stephan Pasda","Mittlerweile habe ich dieses Poloshirt schon in den verschiedensten Farben bestellt, sie sehen gut aus, sind nicht teuer und durch das Material schwitzt man nicht so. Sehr angenehm im Sommer. Wer damit leben kann, dass hier kein Label einer bekannten Marke auf der Brust klebt, macht einen guten Kauf.","Verified Purchase","Reviewed in Germany on 15 May 2023","5.0 out of 5 stars"
"40","Shirt","KEFITEVD Mens Short Sleeve Polo Shirt Quick Dry Sports Outdoor Sports Polo Shirt with Glasses Holder Button Down Lightweight Summer, khaki","David kirrage","Great service and polo shirt fitted well. Used it for golf","Verified Purchase","Reviewed in the United Kingdom on 15 July 2023","5.0 out of 5 stars"
